Series Title,Year,Value
Avg hrs per day - Leisure and sports (includes travel),2003,5.11
Avg hrs per day - Leisure and sports (includes travel),2004,5.19
Avg hrs per day - Leisure and sports (includes travel),2005,5.13
Avg hrs per day - Leisure and sports (includes travel),2006,5.09
Avg hrs per day - Leisure and sports (includes travel),2007,5.11
Avg hrs per day - Leisure and sports (includes travel),2008,5.18
Avg hrs per day - Leisure and sports (includes travel),2009,5.25
Avg hrs per day - Leisure and sports (includes travel),2010,5.18
Avg hrs per day - Leisure and sports (includes travel),2011,5.21
Avg hrs per day - Leisure and sports (includes travel),2012,5.37
Avg hrs per day - Leisure and sports (includes travel),2013,5.26
Avg hrs per day - Leisure and sports (includes travel),2014,5.3
Avg hrs per day - Leisure and sports (includes travel),2015,5.21
Avg hrs per day - Leisure and sports (includes travel),2016,5.13
Avg hrs per day - Leisure and sports (includes travel),2017,5.24
Avg hrs per day - Leisure and sports (includes travel),2018,5.27
Avg hrs per day - Leisure and sports (includes travel),2019,5.19
Avg hrs per day - Leisure and sports (includes travel),2020,
Avg hrs per day - Leisure and sports (includes travel),2021,5.27
Avg hrs per day - Watching TV,2003,2.58
Avg hrs per day - Watching TV,2004,2.65
Avg hrs per day - Watching TV,2005,2.58
Avg hrs per day - Watching TV,2006,2.58
Avg hrs per day - Watching TV,2007,2.62
Avg hrs per day - Watching TV,2008,2.77
Avg hrs per day - Watching TV,2009,2.82
Avg hrs per day - Watching TV,2010,2.73
Avg hrs per day - Watching TV,2011,2.75
Avg hrs per day - Watching TV,2012,2.83
Avg hrs per day - Watching TV,2013,2.77
Avg hrs per day - Watching TV,2014,2.82
Avg hrs per day - Watching TV,2015,2.78
Avg hrs per day - Watching TV,2016,2.73
Avg hrs per day - Watching TV,2017,2.77
Avg hrs per day - Watching TV,2018,2.84
Avg hrs per day - Watching TV,2019,2.81
Avg hrs per day - Watching TV,2020,
Avg hrs per day - Watching TV,2021,2.86
Avg hrs per day - Socializing and communicating,2003,0.78
Avg hrs per day - Socializing and communicating,2004,0.76
Avg hrs per day - Socializing and communicating,2005,0.75
Avg hrs per day - Socializing and communicating,2006,0.76
Avg hrs per day - Socializing and communicating,2007,0.73
Avg hrs per day - Socializing and communicating,2008,0.71
Avg hrs per day - Socializing and communicating,2009,0.7
Avg hrs per day - Socializing and communicating,2010,0.7
Avg hrs per day - Socializing and communicating,2011,0.7
Avg hrs per day - Socializing and communicating,2012,0.74
Avg hrs per day - Socializing and communicating,2013,0.72
Avg hrs per day - Socializing and communicating,2014,0.71
Avg hrs per day - Socializing and communicating,2015,0.68
Avg hrs per day - Socializing and communicating,2016,0.65
Avg hrs per day - Socializing and communicating,2017,0.65
Avg hrs per day - Socializing and communicating,2018,0.64
Avg hrs per day - Socializing and communicating,2019,0.64
Avg hrs per day - Socializing and communicating,2020,
Avg hrs per day - Socializing and communicating,2021,0.57
"Avg hrs per day - Caring for and helping household children, Parents with youngest household child 6-12 yrs",2003,0.96
"Avg hrs per day - Caring for and helping household children, Parents with youngest household child 6-12 yrs",2004,0.97
"Avg hrs per day - Caring for and helping household children, Parents with youngest household child 6-12 yrs",2005,0.99
"Avg hrs per day - Caring for and helping household children, Parents with youngest household child 6-12 yrs",2006,0.94
"Avg hrs per day - Caring for and helping household children, Parents with youngest household child 6-12 yrs",2007,0.94
"Avg hrs per day - Caring for and helping household children, Parents with youngest household child 6-12 yrs",2008,1.03
"Avg hrs per day - Caring for and helping household children, Parents with youngest household child 6-12 yrs",2009,0.97
"Avg hrs per day - Caring for and helping household children, Parents with youngest household child 6-12 yrs",2010,1.03
"Avg hrs per day - Caring for and helping household children, Parents with youngest household child 6-12 yrs",2011,1
"Avg hrs per day - Caring for and helping household children, Parents with youngest household child 6-12 yrs",2012,0.96
"Avg hrs per day - Caring for and helping household children, Parents with youngest household child 6-12 yrs",2013,1.02
"Avg hrs per day - Caring for and helping household children, Parents with youngest household child 6-12 yrs",2014,1.09
"Avg hrs per day - Caring for and helping household children, Parents with youngest household child 6-12 yrs",2015,1
"Avg hrs per day - Caring for and helping household children, Parents with youngest household child 6-12 yrs",2016,1.05
"Avg hrs per day - Caring for and helping household children, Parents with youngest household child 6-12 yrs",2017,1
"Avg hrs per day - Caring for and helping household children, Parents with youngest household child 6-12 yrs",2018,1.02
"Avg hrs per day - Caring for and helping household children, Parents with youngest household child 6-12 yrs",2019,0.93
"Avg hrs per day - Caring for and helping household children, Parents with youngest household child 6-12 yrs",2020,
"Avg hrs per day - Caring for and helping household children, Parents with youngest household child 6-12 yrs",2021,0.97
"Avg hrs per day - Caring for and helping household children, Parents with youngest household child 6-12 yrs, Men",2003,0.64
"Avg hrs per day - Caring for and helping household children, Parents with youngest household child 6-12 yrs, Men",2004,0.68
"Avg hrs per day - Caring for and helping household children, Parents with youngest household child 6-12 yrs, Men",2005,0.6
"Avg hrs per day - Caring for and helping household children, Parents with youngest household child 6-12 yrs, Men",2006,0.64
"Avg hrs per day - Caring for and helping household children, Parents with youngest household child 6-12 yrs, Men",2007,0.63
"Avg hrs per day - Caring for and helping household children, Parents with youngest household child 6-12 yrs, Men",2008,0.75
"Avg hrs per day - Caring for and helping household children, Parents with youngest household child 6-12 yrs, Men",2009,0.65
"Avg hrs per day - Caring for and helping household children, Parents with youngest household child 6-12 yrs, Men",2010,0.76
