zip,median_earnings
60601,"91,139"
60602,"173,575"
60603,"79,107"
60604,"65,536"
60605,"86,266"
60606,"102,146"
60607,"75,444"
60608,"37,094"
60609,"30,935"
60610,"75,339"
60611,"90,901"
60612,"39,508"
60613,"61,303"
60615,"42,355"
60616,"52,135"
60618,"51,282"
60619,"32,443"
60620,"31,703"
60621,"24,647"
60622,"63,756"
60623,"26,856"
60624,"26,135"
60625,"42,550"
60626,"35,606"
60628,"33,191"
60629,"30,905"
60632,"30,726"
60633,"33,040"
60636,"26,658"
60637,"31,816"
60638,"45,623"
60639,"30,186"
60641,"40,142"
60642,"70,424"
60643,"44,577"
60644,"26,238"
60645,"36,472"
60647,"53,148"
60651,"29,089"
60652,"35,883"
60653,"42,354"
60654,"94,763"
60655,"64,375"
60657,"66,624"
60659,"35,098"
60660,"39,633"
60661,"92,421"
60707,"38,251"
60827,"30,853"
