Country,Australia,Austria,Belgium,Canada,Denmark,Estonia,Finland,France,Germany,Greece,Hungary,Ireland,Italy ,Japan,Korea,Latvia,Lithuania,Luxembourg,Mexico,Netherlands,New Zealand,Norway ,Poland,Portugal,Slovenia,Spain,Sweden,Turkey,UK,USA,China,India,South Africa
Survey year,2006,2008/09,2013,2015,2001,2009/10,2009/10,2009/10,2012/13,2013,2010,2005,2013/2014,2016,2014,2003,2003,2013,2014,2016,2009/10,2010/211,2013,1999,2000/01,2009/10,2010,2014/15,2014/2015,2019,2008,1998/99,2010
Age of reference,15 and more,15-64,15-64,15-64,15-64,15-64,15-64,15-64,15-64,15-64,15-64,15-64,15-64,15-64,15-64,15-64,20-64,15-64,15-64,15-64,15-64,15-64,15-64,15-64,15-64,15-64,15-64,15-64,15-64,15-64,15-74,15-64,15-64
Paid work or study,304,365,274,341,260,264,249,235,290,274,273,341,221,452,419,377,354,330,478,285,338,277,315,372,300,236,313,358,309,332,390,391,294
paid work (all jobs),248,303,203,270,211,211,198,174,227,210,200,277,160,360,287,323,311,254,375,220,279,199,254,300,236,181,251,287,228,274,308,318,196
travel to and from work/study,31,34,29,33,29,30,21,26,33,28,33,26,27,54,72,43,33,38,54,36,29,36,32,32,28,24,33,44,49,26,56,44,44
time in school or classes,15,23,28,21,13,23,28,24,15,22,29,38,14,38,39,8,8,25,37,15,21,35,21,32,21,18,30,17,15,17,26,14,30
research/homework,10,1,13,14,7,0,,8,10,14,10,,13,,21,3,2,13,11,11,10,4,8,8,15,8,,10,14,13,,14,13
job search,,2,,2,,,,3,1,,,,4,,,,,,3,1,,,,,,4,,,2,2,,,
other paid work or study-related,,1,,,,,2,1,5,,,,3,,,,,,,2,,4,,,,1,,0,1,,,,11
Unpaid work,172,135,144,148,186,160,157,135,150,95,162,127,131,41,49,130,152,121,131,145,141,168,159,96,166,146,171,68,140,166,91,52,103
routine housework,93,79,87,95,107,89,84,97,81,51,102,48,64,14,22,85,96,69,87,81,76,56,94,51,114,70,93,27,75,78,48,19,68
shopping,22,16,23,19,22,20,23,18,27,15,16,16,23,15,7,11,13,17,11,25,17,15,20,10,15,20,20,13,23,17,15,14,8
care for household members,27,21,14,19,20,18,14,14,12,13,18,29,18,,11,4,8,12,18,14,16,14,22,6,11,25,26,11,17,18,13,8,3
child care,,20,14,18,,18,13,13,11,13,18,,16,7,,4,8,12,14,14,16,14,22,,11,23,19,10,15,17,,,3
adult care,,1,,1,,,1,1,1,,,,1,1,,,,,4,0,,0,,,,2,7,2,3,2,,,0
care for non household members,,0,4,3,11,11,2,1,6,5,10,,5,,1,12,16,3,6,5,6,0,7,4,9,3,,1,5,2,2,1,0
volunteering,4,5,4,3,4,0,4,,7,0,0,9,3,3,0,0,0,2,2,5,4,6,1,1,1,1,,3,2,5,1,0,2
travel related to household activities,25,13,13,9,22,21,20,4,17,11,16,26,18,,7,18,19,18,6,15,22,23,16,24,16,19,26,12,18,23,12,10,8
other unpaid,,2,,,,,11,1,2,,,,0,,,,,,,1,,55,,,,8,6,0,,3,,,14
Personal care,649,624,648,622,643,664,630,743,638,689,686,595,710,613,676,640,644,677,624,666,639,615,645,677,632,697,611,679,635,635,696,703,695
sleeping,513,496,506,514,479,532,505,509,494,501,503,482,514,448,471,510,501,515,497,496,522,484,503,503,501,520,482,511,504,524,540,534,549
eating & drinking,87,77,96,65,118,82,80,134,93,134,105,76,129,91,119,93,91,111,76,112,79,81,89,116,89,128,80,116,80,62,104,87,76
"personal, household, and medical services + travel related to personal care",49,51,47,43,46,50,45,99,50,54,78,37,67,74,85,36,53,51,52,58,37,49,53,58,41,48,49,52,50,49,52,81,70
Leisure,297,308,365,298,340,345,359,319,346,375,308,338,366,292,272,290,282,299,187,330,306,370,311,289,337,347,338,301,327,306,248,283,334
sports,23,34,27,25,25,32,39,17,28,34,17,23,44,14,31,30,20,39,18,25,19,21,26,20,35,47,36,13,23,25,24,9,9
participating / attending events,5,10,18,6,7,7,7,16,13,5,5,50,7,,4,6,1,12,8,6,6,8,3,13,5,10,10,3,6,6,3,6,6
visiting or entertaining friends,34,81,47,53,74,36,50,52,58,58,37,43,73,15,38,35,32,31,40,68,59,47,45,53,63,53,49,64,42,41,22,81,92
TV or radio at home,159,117,140,118,132,140,136,125,126,150,144,94,117,103,101,139,160,124,74,125,132,140,135,126,133,140,123,126,145,152,132,68,139
Other leisure activities,76,66,134,96,101,130,127,109,121,129,105,128,126,160,98,80,70,93,46,106,90,155,103,77,100,97,121,94,110,81,67,119,89
Other,18,8,8,32,11,6,45,8,16,6,11,40,12,43,24,3,8,13,19,14,16,9,10,5,5,14,7,34,30,20,15,12,13
religious / spiritual activities and civic obligations,10,3,2,3,7,0,1,2,2,2,1,5,6,,7,1,2,3,18,4,7,2,7,4,3,4,,26,4,7,,12,13
other (no categories),8,5,6,29,4,6,44,6,14,4,9,35,6,43,17,2,6,10,1,10,9,7,3,1,2,10,,8,26,13,15,,
Total,1440,1440,1440,1440,1440,1440,1440,1440,1440,1440,1440,1440,1440,1440,1440,1440,1440,1440,1440,1440,1440,1440,1440,1440,1440,1440,1440,1440,1440,1440,1440,1440,1440
