zip,total,white_percent,white_count,black_percent,black_count,asian_percent,asian_count,other_percent,other_count
60601,"8,877",0.70,6249.41,0.08,719.04,0.14,1278.29,0.07,630.267
60602,"1,429",0.55,781.66,0.03,37.15,0.27,390.12,0.15,218.637
60603,708,0.70,492.77,0.01,7.79,0.28,194.70,0.02,12.036
60604,454,0.81,368.19,0.03,13.17,0.14,64.92,0.02,8.172
60605,"19,288",0.66,12807.23,0.11,2044.53,0.19,3606.86,0.04,829.384
60606,"2,825",0.58,1635.68,0.02,50.85,0.34,971.80,0.06,166.675
60607,"18,171",0.67,12210.91,0.08,1399.17,0.19,3525.17,0.06,1017.576
60608,"35,562",0.47,16856.39,0.08,2951.65,0.17,6045.54,0.27,9672.864
60609,"24,841",0.44,11004.56,0.17,4247.81,0.09,2111.49,0.30,7477.141
60610,"27,558",0.77,21219.66,0.08,2287.31,0.12,3196.73,0.03,881.856
60611,"21,877",0.71,15423.29,0.03,546.93,0.23,5097.34,0.04,809.449
60612,"14,656",0.43,6302.08,0.41,6023.62,0.06,806.08,0.10,1524.224
60613,"35,892",0.83,29610.90,0.05,1830.49,0.06,2189.41,0.06,2225.304
60614,"45,985",0.87,39823.01,0.03,1425.54,0.07,3172.97,0.03,1563.49
60615,"20,715",0.38,7830.27,0.48,9943.20,0.08,1719.35,0.06,1222.185
60616,"27,122",0.37,10143.63,0.22,5912.60,0.36,9791.04,0.05,1247.612
60617,"32,007",0.32,10338.26,0.55,17539.84,0.01,160.04,0.13,4000.875
60618,"55,045",0.73,40237.90,0.03,1486.22,0.08,4128.38,0.17,9192.515
60619,"24,161",0.02,410.74,0.95,22880.47,0.01,144.97,0.03,724.83
60620,"24,421",0.02,464.00,0.94,23053.42,0.01,146.53,0.03,757.051
60621,"7,544",0.03,203.69,0.93,6993.29,0.01,37.72,0.04,316.848
60622,"36,809",0.81,29631.25,0.05,1877.26,0.05,1987.69,0.09,3312.81
60623,"30,332",0.34,10161.22,0.26,7886.32,0.01,181.99,0.40,12102.468
60624,"10,704",0.07,781.39,0.86,9162.62,0.00,21.41,0.07,738.576
60625,"44,110",0.65,28715.61,0.04,1896.73,0.12,5160.87,0.19,8336.79
60626,"27,543",0.60,16415.63,0.21,5894.20,0.06,1625.04,0.13,3608.133
60628,"23,667",0.05,1230.68,0.92,21773.64,0.00,47.33,0.02,568.008
60629,"42,650",0.41,17529.15,0.16,6909.30,0.01,426.50,0.42,17742.4
60630,"28,131",0.68,19100.95,0.03,703.28,0.13,3600.77,0.17,4754.139
60631,"14,873",0.91,13474.94,0.01,74.37,0.04,639.54,0.05,684.158
60632,"34,983",0.48,16826.82,0.01,454.78,0.09,3113.49,0.42,14552.928
60633,"5,268",0.61,3202.94,0.26,1380.22,0.00,0.00,0.13,684.84
60634,"39,111",0.73,28433.70,0.02,938.66,0.06,2190.22,0.19,7587.534
60636,"8,670",0.06,528.87,0.82,7135.41,0.00,0.00,0.12,1005.72
60637,"17,034",0.17,2895.78,0.73,12451.85,0.06,987.97,0.04,698.394
60638,"26,286",0.74,19504.21,0.03,657.15,0.01,210.29,0.23,5940.636
60639,"40,670",0.43,17488.10,0.13,5165.09,0.02,813.40,0.43,17284.75
60640,"42,236",0.69,29142.84,0.12,5237.26,0.11,4477.02,0.08,3421.116
60641,"36,788",0.64,23360.38,0.03,1103.64,0.05,1912.98,0.28,10411.004
60642,"15,110",0.75,11302.28,0.06,921.71,0.10,1480.78,0.09,1405.23
60643,"20,304",0.25,5157.22,0.69,13908.24,0.01,121.82,0.06,1116.72
60644,"15,987",0.07,1167.05,0.82,13109.34,0.00,47.96,0.10,1662.648
60645,"21,630",0.56,12026.28,0.15,3222.87,0.14,2941.68,0.16,3460.8
60646,"13,804",0.84,11636.77,0.01,69.02,0.10,1311.38,0.06,786.828
60647,"54,087",0.77,41755.16,0.05,2596.18,0.05,2704.35,0.13,7085.397
60649,"20,581",0.04,905.56,0.93,19078.59,0.01,102.91,0.02,493.944
60651,"26,341",0.22,5847.70,0.51,13460.25,0.01,131.71,0.26,6901.342
60652,"18,539",0.27,4931.37,0.49,9009.95,0.01,185.39,0.24,4430.821
60653,"13,145",0.11,1432.81,0.81,10700.03,0.02,315.48,0.05,696.685
60654,"15,956",0.78,12429.72,0.03,462.72,0.12,1850.90,0.08,1228.612
60655,"13,715",0.87,11932.05,0.08,1069.77,0.01,123.44,0.04,576.03
60656,"15,064",0.80,12051.20,0.05,723.07,0.10,1506.40,0.05,783.328
60657,"49,408",0.85,41799.17,0.03,1679.87,0.07,3557.38,0.05,2322.176
60659,"19,039",0.53,10166.83,0.09,1618.32,0.24,4512.24,0.14,2741.616
60660,"25,830",0.63,16350.39,0.13,3383.73,0.12,3047.94,0.12,3047.94
60661,"8,293",0.67,5539.72,0.02,190.74,0.26,2139.59,0.05,422.943
60707,"21,695",0.68,14817.69,0.07,1496.96,0.04,889.50,0.21,4490.865
60827,"10,130",0.05,516.63,0.93,9380.38,0.00,0.00,0.02,232.99
