Series ID,Series Title,Year,Period,Label,Value
TUU10100AA01000015,"Number of persons - Employed, Wage and salary workers",2003,A01,2003 Annual,134478
TUU10100AA01000015,"Number of persons - Employed, Wage and salary workers",2004,A01,2004 Annual,134954
TUU10100AA01000015,"Number of persons - Employed, Wage and salary workers",2005,A01,2005 Annual,138219
TUU10100AA01000015,"Number of persons - Employed, Wage and salary workers",2006,A01,2006 Annual,139901
TUU10100AA01000015,"Number of persons - Employed, Wage and salary workers",2007,A01,2007 Annual,144264
TUU10100AA01000015,"Number of persons - Employed, Wage and salary workers",2008,A01,2008 Annual,143898
TUU10100AA01000015,"Number of persons - Employed, Wage and salary workers",2009,A01,2009 Annual,137890
TUU10100AA01000015,"Number of persons - Employed, Wage and salary workers",2010,A01,2010 Annual,135964
TUU10100AA01000015,"Number of persons - Employed, Wage and salary workers",2011,A01,2011 Annual,139058
TUU10100AA01000015,"Number of persons - Employed, Wage and salary workers",2012,A01,2012 Annual,139487
TUU10100AA01000015,"Number of persons - Employed, Wage and salary workers",2013,A01,2013 Annual,141046
TUU10100AA01000015,"Number of persons - Employed, Wage and salary workers",2014,A01,2014 Annual,143705
TUU10100AA01000015,"Number of persons - Employed, Wage and salary workers",2015,A01,2015 Annual,144820
TUU10100AA01000015,"Number of persons - Employed, Wage and salary workers",2016,A01,2016 Annual,150806
TUU10100AA01000015,"Number of persons - Employed, Wage and salary workers",2017,A01,2017 Annual,150107
TUU10100AA01000015,"Number of persons - Employed, Wage and salary workers",2018,A01,2018 Annual,153209
TUU10100AA01000015,"Number of persons - Employed, Wage and salary workers",2019,A01,2019 Annual,155419
TUU10100AA01000015,"Number of persons - Employed, Wage and salary workers",2020,A01,2020 Annual,-
TUU10100AA01000015,"Number of persons - Employed, Wage and salary workers",2021,A01,2021 Annual,151864
TUU10101AA01000247,Avg hrs per day - Sleeping,2003,A01,2003 Annual,8.57
TUU10101AA01000247,Avg hrs per day - Sleeping,2004,A01,2004 Annual,8.55
TUU10101AA01000247,Avg hrs per day - Sleeping,2005,A01,2005 Annual,8.62
TUU10101AA01000247,Avg hrs per day - Sleeping,2006,A01,2006 Annual,8.63
TUU10101AA01000247,Avg hrs per day - Sleeping,2007,A01,2007 Annual,8.57
TUU10101AA01000247,Avg hrs per day - Sleeping,2008,A01,2008 Annual,8.6
TUU10101AA01000247,Avg hrs per day - Sleeping,2009,A01,2009 Annual,8.67
TUU10101AA01000247,Avg hrs per day - Sleeping,2010,A01,2010 Annual,8.67
TUU10101AA01000247,Avg hrs per day - Sleeping,2011,A01,2011 Annual,8.71
